               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11935,            0.035298,            0.029497,          0.00014198,            0.025266,          7.5858e-05,          2.0293e-05,             0.12479,             0.02167,            0.029365,              0.0982,              0.0002,              0.0002
                   1,             0.11484,            0.035384,            0.028629,          0.00014305,            0.030585,          7.9339e-05,          2.7137e-05,             0.11927,            0.019392,            0.027173,            0.095483,           0.0004835,           0.0004835
                   2,             0.10521,            0.035841,            0.025936,          0.00017659,            0.054521,          0.00011464,          4.3884e-05,             0.11166,             0.01726,            0.023682,            0.092747,           0.0007472,           0.0007472
                   3,            0.094876,            0.036571,            0.023084,          0.00020289,            0.095745,          0.00034579,          0.00012005,             0.10468,            0.015477,            0.019455,            0.089991,           0.0009911,           0.0009911
