               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11525,            0.028402,            0.027909,           0.0014691,             0.26389,           0.0013737,          0.00035584,             0.10238,            0.027968,            0.024505,              0.0937,              0.0007,              0.0007
                   1,            0.094484,            0.027313,            0.020596,            0.001911,             0.43604,             0.04758,            0.014713,            0.077125,            0.028155,            0.015882,            0.086481,           0.0014814,           0.0014814
                   2,            0.079923,            0.027644,            0.014218,           0.0021397,             0.49507,            0.012034,           0.0041117,            0.076213,            0.026439,            0.012006,            0.079243,           0.0022431,           0.0022431
                   3,            0.069151,            0.029204,           0.0098294,             0.53756,             0.30556,            0.047653,            0.017285,            0.062593,            0.025921,            0.010451,            0.071985,           0.0029849,           0.0029849
                   4,             0.06273,            0.025986,            0.008659,             0.55287,             0.25694,            0.052773,            0.018395,            0.066012,             0.02309,            0.010231,            0.064707,           0.0037069,           0.0037069
                   5,            0.061848,            0.024275,           0.0074275,             0.60207,             0.20833,            0.099941,            0.037096,            0.068761,            0.021393,           0.0098531,            0.057409,           0.0044092,           0.0044092
                   6,            0.060802,             0.02351,           0.0079273,             0.59568,              0.1875,             0.10228,            0.047755,            0.057097,            0.021432,           0.0095999,            0.050092,           0.0050916,           0.0050916
                   7,            0.058012,            0.021925,           0.0077948,             0.63171,             0.23958,             0.13446,            0.065491,            0.058456,            0.020225,           0.0094626,            0.042754,           0.0057543,           0.0057543
                   8,            0.057704,            0.021858,           0.0072918,             0.62044,             0.23579,             0.12727,            0.056595,             0.05818,            0.019654,           0.0091691,            0.035397,           0.0063971,           0.0063971
                   9,             0.05508,            0.020357,           0.0072529,             0.62889,             0.21181,             0.14529,            0.063159,            0.054673,            0.018868,           0.0088685,             0.02802,           0.0070201,           0.0070201
                  10,            0.052577,            0.020777,           0.0074237,             0.66191,             0.20619,             0.16059,            0.073797,            0.057061,             0.01842,           0.0088179,            0.020623,           0.0076234,           0.0076234
                  11,            0.050186,            0.018679,            0.007375,             0.71033,             0.24653,             0.21754,             0.11015,            0.055545,            0.016615,           0.0085003,            0.013207,           0.0082068,           0.0082068
                  12,            0.050169,            0.017607,           0.0061798,              0.7234,             0.31944,             0.26302,             0.13273,            0.046064,             0.01699,           0.0085706,            0.008515,            0.008515,            0.008515
