               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.097163,            0.037379,            0.024446,             0.01122,             0.46341,            0.092058,            0.023314,            0.068906,            0.037803,            0.013535,              0.0856,              0.0016,              0.0016
                   1,            0.069313,            0.034861,            0.015569,             0.62801,              0.3374,             0.12869,            0.062636,            0.054047,            0.031431,           0.0063795,            0.070235,           0.0032347,           0.0032347
                   2,            0.061115,            0.029794,             0.01523,             0.63161,             0.26423,             0.12098,            0.055668,            0.063457,            0.024192,           0.0059054,            0.054802,            0.004802,            0.004802
                   3,            0.056777,            0.027267,            0.015774,             0.68475,             0.19919,             0.18172,            0.076023,            0.058894,            0.021892,           0.0064426,            0.039302,            0.006302,            0.006302
                   4,             0.05334,            0.023217,            0.014559,             0.74606,             0.22764,             0.24891,             0.11935,            0.051058,            0.020385,            0.005678,            0.023735,           0.0077347,           0.0077347
                   5,            0.049443,            0.021782,            0.014786,             0.80448,             0.30387,             0.34037,             0.17136,            0.043665,             0.02144,           0.0052957,             0.00901,             0.00901,             0.00901
                   6,            0.046266,            0.018575,            0.013782,              0.8076,             0.37044,              0.3955,              0.1967,            0.040233,            0.016236,           0.0065078,             0.00901,             0.00901,             0.00901
                   7,            0.042677,            0.018153,            0.014758,             0.85665,             0.35772,             0.46878,             0.23419,            0.035991,            0.017668,           0.0052756,            0.008812,            0.008812,            0.008812
                   8,             0.04053,            0.016985,            0.014023,             0.70086,              0.5318,             0.52225,             0.28244,            0.037935,            0.018476,           0.0060756,            0.008614,            0.008614,            0.008614
                   9,            0.037868,            0.017276,            0.013972,             0.62206,             0.46637,             0.48879,             0.30146,            0.033302,             0.01748,            0.008417,            0.008416,            0.008416,            0.008416
                  10,            0.037757,            0.017043,             0.01256,             0.84259,             0.49492,             0.57497,             0.35721,              0.0305,            0.014493,            0.006732,            0.008218,            0.008218,            0.008218
                  11,            0.035832,             0.01668,            0.011643,             0.46647,             0.51931,             0.46882,             0.30537,             0.02948,            0.014518,            0.010286,             0.00802,             0.00802,             0.00802
                  12,            0.034831,            0.017227,            0.011307,              0.4643,              0.3999,             0.44534,             0.28176,            0.028296,            0.014764,            0.012574,            0.007822,            0.007822,            0.007822
                  13,            0.033674,            0.016058,            0.011703,             0.54753,             0.51335,             0.45742,             0.31192,            0.027332,             0.01499,            0.009877,            0.007624,            0.007624,            0.007624
                  14,            0.032995,            0.015862,            0.010942,             0.39833,             0.51971,              0.4325,             0.28543,            0.027953,            0.013672,             0.01428,            0.007426,            0.007426,            0.007426
                  15,            0.032335,            0.015464,            0.011049,             0.49355,              0.5032,             0.49226,             0.33022,            0.024328,             0.01191,            0.013651,            0.007228,            0.007228,            0.007228
                  16,            0.031356,            0.015013,            0.012883,             0.45749,             0.57248,             0.45118,             0.30616,             0.02453,            0.013928,            0.023618,             0.00703,             0.00703,             0.00703
                  17,            0.030572,            0.014306,           0.0088366,             0.43301,              0.5785,             0.41804,             0.28269,            0.027202,            0.012419,            0.048063,            0.006832,            0.006832,            0.006832
                  18,            0.029878,            0.014428,           0.0090051,             0.39695,             0.52744,              0.4461,             0.31171,            0.024489,            0.012397,            0.028498,            0.006634,            0.006634,            0.006634
                  19,            0.029104,            0.014121,           0.0084947,             0.34044,              0.5732,             0.35982,             0.24441,            0.026756,            0.014899,            0.062699,            0.006436,            0.006436,            0.006436
                  20,            0.029385,            0.014041,           0.0094414,             0.30813,             0.51677,             0.34507,             0.22874,            0.029492,            0.013725,            0.066643,            0.006238,            0.006238,            0.006238
                  21,            0.029029,            0.014514,           0.0081888,             0.33258,             0.57114,             0.36897,             0.25377,            0.025891,            0.013346,            0.038105,             0.00604,             0.00604,             0.00604
                  22,            0.027679,             0.01295,           0.0076967,             0.36335,             0.50401,             0.40842,             0.28151,            0.024176,            0.012196,            0.036015,            0.005842,            0.005842,            0.005842
