               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.021773,            0.009819,          0.00075089,             0.63914,             0.49709,             0.51722,             0.37609,             0.03349,            0.012155,           0.0080986,             0.00307,             0.00307,             0.00307
                  37,            0.022427,           0.0095955,          0.00070775,             0.62357,             0.45698,             0.50465,             0.36643,            0.033332,            0.013085,           0.0079143,            0.002872,            0.002872,            0.002872
                  38,            0.020785,           0.0093221,          0.00077777,             0.68832,             0.46345,             0.51634,             0.37947,            0.032716,            0.012948,           0.0080143,            0.002674,            0.002674,            0.002674
                  39,            0.020671,           0.0095146,          0.00057923,             0.83384,              0.4442,             0.52429,             0.38123,            0.033134,            0.012894,           0.0079804,            0.002476,            0.002476,            0.002476
                  40,             0.02041,            0.009553,          0.00060997,              0.7771,             0.43656,             0.50511,             0.38256,            0.032872,            0.013096,           0.0079446,            0.002278,            0.002278,            0.002278
                  41,            0.020781,           0.0096293,          0.00066583,             0.90278,             0.44044,             0.51005,              0.3899,            0.033569,            0.013406,           0.0076082,             0.00208,             0.00208,             0.00208
                  42,            0.019566,           0.0092066,          0.00040335,             0.75368,             0.48064,             0.52682,             0.39786,            0.033623,            0.013048,            0.007713,            0.001882,            0.001882,            0.001882
                  43,            0.018976,           0.0089413,          0.00066317,             0.65246,             0.49342,             0.51521,             0.38714,            0.033003,            0.013206,           0.0078461,            0.001684,            0.001684,            0.001684
                  44,            0.019148,           0.0088508,          0.00056417,             0.65702,             0.45761,             0.51337,             0.39482,            0.031866,            0.012878,           0.0075033,            0.001486,            0.001486,            0.001486
                  45,            0.018735,           0.0084699,          0.00061072,             0.76789,             0.46592,             0.51845,             0.39028,            0.032193,            0.012729,           0.0083501,            0.001288,            0.001288,            0.001288
                  46,            0.018433,           0.0084447,          0.00044322,             0.72025,             0.44848,              0.5055,             0.38538,            0.032615,            0.013176,           0.0080712,             0.00109,             0.00109,             0.00109
                  47,             0.01798,           0.0082485,          0.00035119,             0.67155,             0.48415,             0.51996,             0.39061,            0.031889,            0.012814,           0.0079484,            0.000892,            0.000892,            0.000892
                  48,            0.018095,           0.0083325,            0.000398,              0.7491,             0.48606,             0.52846,             0.39629,            0.032167,            0.013081,           0.0080218,            0.000694,            0.000694,            0.000694
                  49,            0.016678,           0.0085195,          0.00029489,             0.73948,             0.48884,             0.51658,              0.3963,            0.032432,             0.01347,           0.0084957,            0.000496,            0.000496,            0.000496
