               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11363,            0.029909,            0.028041,           0.0022496,             0.31301,           0.0027376,          0.00072265,            0.097851,            0.031163,            0.022966,              0.0928,              0.0008,              0.0008
                   1,            0.090783,            0.031165,            0.021258,           0.0028108,             0.51778,            0.061304,            0.014645,            0.078642,            0.031387,            0.014626,            0.084666,           0.0016663,           0.0016663
                   2,            0.076153,            0.032703,            0.017502,             0.53326,             0.41057,            0.049962,            0.015368,            0.065652,            0.030868,           0.0092427,            0.076497,            0.002497,            0.002497
                   3,            0.065415,            0.031546,            0.016291,             0.59185,             0.26829,            0.086897,            0.032266,            0.066763,            0.026966,           0.0070089,            0.068292,           0.0032921,           0.0032921
                   4,            0.060928,            0.027221,            0.014739,             0.56043,             0.19919,            0.069956,             0.02874,            0.064714,            0.025459,           0.0064063,            0.060052,           0.0040515,           0.0040515
                   5,            0.058072,            0.026479,            0.014698,             0.57809,             0.26016,            0.081132,            0.027907,            0.063126,            0.023377,           0.0064688,            0.051775,           0.0047753,           0.0047753
                   6,            0.057554,            0.024369,             0.01521,             0.61987,             0.28202,             0.12784,              0.0616,            0.051736,            0.023472,           0.0067505,            0.043463,           0.0054634,           0.0054634
                   7,            0.055573,            0.024207,            0.015371,             0.61359,             0.27236,             0.12722,            0.061679,            0.053297,            0.022058,           0.0069403,            0.035116,           0.0061159,           0.0061159
                   8,              0.0524,            0.023487,            0.015011,             0.66396,             0.26016,             0.17164,            0.072547,              0.0533,            0.021078,           0.0065107,            0.026733,           0.0067328,           0.0067328
                   9,            0.050258,            0.022128,            0.015051,             0.65909,             0.31301,             0.19671,            0.079226,             0.05169,             0.01908,           0.0064831,            0.018314,            0.007314,            0.007314
                  10,            0.050881,            0.021544,            0.014386,             0.77506,             0.37281,             0.35505,             0.19453,            0.042999,            0.019447,           0.0058541,           0.0098596,           0.0078596,           0.0078596
                  11,            0.047285,             0.02014,            0.013192,             0.72392,             0.36585,              0.3511,             0.16337,            0.044266,            0.017907,           0.0053822,            0.007822,            0.007822,            0.007822
                  12,            0.045692,            0.019431,            0.012988,             0.88522,             0.34107,             0.45371,              0.2513,             0.04167,            0.017853,           0.0048921,            0.007822,            0.007822,            0.007822
                  13,            0.042346,            0.018462,            0.013136,             0.61959,             0.50965,             0.42408,             0.25626,             0.03571,            0.016065,           0.0050638,            0.007624,            0.007624,            0.007624
                  14,            0.040295,            0.017157,            0.012967,             0.41738,             0.48922,             0.47437,             0.27667,            0.033153,            0.015148,           0.0051244,            0.007426,            0.007426,            0.007426
                  15,            0.039274,            0.017438,            0.013008,             0.38301,             0.56183,             0.47536,             0.28142,             0.03395,            0.015236,            0.004987,            0.007228,            0.007228,            0.007228
                  16,            0.036702,            0.015939,             0.01581,             0.52057,             0.56515,             0.49842,             0.30162,            0.030277,            0.014643,           0.0053181,             0.00703,             0.00703,             0.00703
                  17,            0.036116,            0.016116,            0.012314,             0.51721,             0.56822,             0.64356,             0.39769,            0.029996,            0.014943,           0.0050838,            0.006832,            0.006832,            0.006832
                  18,            0.035167,            0.015016,            0.011699,             0.84998,              0.6905,             0.71558,             0.42024,            0.027654,            0.013536,           0.0052128,            0.006634,            0.006634,            0.006634
                  19,            0.034877,            0.015757,            0.011973,             0.77025,             0.68653,             0.73082,             0.48991,              0.0272,            0.016121,             0.00455,            0.006436,            0.006436,            0.006436
                  20,            0.033045,            0.015143,            0.014057,             0.64546,             0.71494,              0.7267,             0.45052,            0.027686,            0.014601,           0.0069471,            0.006238,            0.006238,            0.006238
                  21,            0.033577,            0.014955,            0.012151,             0.81054,             0.63059,             0.72372,             0.43605,            0.026262,            0.014412,           0.0053906,             0.00604,             0.00604,             0.00604
                  22,            0.031892,            0.014296,            0.011885,             0.61433,              0.6565,             0.67656,             0.40787,            0.025073,            0.013043,           0.0069334,            0.005842,            0.005842,            0.005842
                  23,              0.0312,            0.013299,            0.013101,             0.74713,             0.60592,              0.6909,             0.43625,            0.023993,            0.012912,           0.0077419,            0.005644,            0.005644,            0.005644
                  24,            0.030215,            0.013319,            0.012724,             0.91232,             0.56148,             0.69779,              0.4363,            0.023673,            0.012703,            0.010033,            0.005446,            0.005446,            0.005446
                  25,            0.029063,            0.013324,            0.012196,             0.75898,             0.72589,             0.74239,             0.48616,            0.023502,            0.012208,           0.0086236,            0.005248,            0.005248,            0.005248
                  26,            0.029062,            0.014083,            0.010658,             0.88681,             0.56754,             0.69692,             0.44013,            0.023512,            0.012936,           0.0098913,             0.00505,             0.00505,             0.00505
                  27,            0.028514,            0.012903,            0.010801,             0.58159,             0.54063,              0.5106,             0.36267,            0.022945,            0.014041,            0.013853,            0.004852,            0.004852,            0.004852
                  28,             0.02822,            0.013109,           0.0097082,             0.44048,             0.60366,             0.45556,             0.32482,            0.022753,            0.013019,              0.0181,            0.004654,            0.004654,            0.004654
                  29,            0.027533,             0.01301,            0.010151,             0.48055,             0.63109,             0.48413,             0.35784,            0.022876,            0.012183,            0.027333,            0.004456,            0.004456,            0.004456
                  30,            0.026736,            0.012675,           0.0082629,             0.45751,             0.80164,             0.55197,             0.35717,            0.022171,            0.013477,            0.024368,            0.004258,            0.004258,            0.004258
                  31,            0.026891,            0.012203,           0.0088023,             0.38714,             0.75305,             0.44372,             0.31698,            0.022078,            0.012577,            0.034268,             0.00406,             0.00406,             0.00406
