               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.030812,            0.015567,            0.009341,             0.69206,             0.39955,             0.60672,             0.37155,            0.026019,            0.015747,            0.019431,             0.00307,             0.00307,             0.00307
                  37,            0.030544,            0.014673,            0.008637,             0.44173,             0.58333,             0.54812,             0.38656,            0.026063,            0.015654,            0.024713,            0.002872,            0.002872,            0.002872
                  38,            0.031268,            0.014384,           0.0090987,              0.4041,             0.53668,              0.5102,             0.34235,            0.027323,             0.01538,            0.032912,            0.002674,            0.002674,            0.002674
                  39,            0.029799,            0.014487,           0.0094116,             0.42915,             0.58333,             0.55831,             0.36058,            0.027589,            0.016256,             0.04163,            0.002476,            0.002476,            0.002476
                  40,            0.028903,            0.014362,           0.0093314,             0.39842,             0.61179,             0.50593,              0.3488,            0.026726,            0.015929,            0.038786,            0.002278,            0.002278,            0.002278
                  41,            0.028756,            0.014221,            0.009025,             0.41049,              0.5169,              0.4869,             0.35031,            0.026061,            0.016215,            0.044188,             0.00208,             0.00208,             0.00208
                  42,            0.029261,            0.014438,           0.0074422,             0.39772,             0.55335,             0.49405,             0.34857,            0.027028,            0.014942,             0.04836,            0.001882,            0.001882,            0.001882
                  43,            0.028074,            0.013516,           0.0076885,             0.39678,             0.61179,             0.48982,              0.3465,            0.025468,            0.014884,            0.044858,            0.001684,            0.001684,            0.001684
                  44,             0.02806,            0.013944,           0.0074041,              0.3841,             0.61585,             0.42311,             0.30238,            0.026047,            0.013717,            0.053106,            0.001486,            0.001486,            0.001486
                  45,            0.028159,             0.01419,            0.005896,              0.4182,             0.54076,             0.42413,             0.31114,            0.024687,            0.012903,            0.044822,            0.001288,            0.001288,            0.001288
                  46,            0.027837,             0.01379,           0.0058673,             0.40613,             0.55742,             0.43457,             0.32028,              0.0243,            0.013699,            0.049361,             0.00109,             0.00109,             0.00109
                  47,            0.027645,            0.013495,           0.0055675,             0.39293,             0.66794,             0.42196,              0.3052,            0.024241,             0.01404,            0.068835,            0.000892,            0.000892,            0.000892
                  48,            0.026971,            0.013306,           0.0050492,             0.39443,             0.66072,             0.41328,             0.31105,             0.02386,             0.01329,            0.067356,            0.000694,            0.000694,            0.000694
                  49,            0.027311,            0.013004,           0.0045726,             0.40042,             0.71341,             0.41048,             0.30073,            0.023446,            0.013384,            0.072876,            0.000496,            0.000496,            0.000496
