               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.025186,            0.012675,          0.00078295,             0.66546,             0.44236,              0.4887,             0.34478,            0.027652,            0.014593,           0.0077404,           0.0057925,           0.0057925,           0.0057925
                  36,            0.024654,            0.012385,          0.00098825,             0.69742,             0.43175,             0.46905,             0.32893,            0.028455,            0.014479,           0.0082686,           0.0056688,           0.0056688,           0.0056688
                  37,            0.025061,            0.012194,          0.00071874,             0.66499,             0.47177,             0.49005,             0.33651,            0.028746,            0.014541,           0.0074282,            0.005545,            0.005545,            0.005545
                  38,            0.024319,            0.011534,          0.00090583,              0.5882,             0.51915,             0.51073,              0.3613,            0.027739,            0.013886,           0.0077817,           0.0054212,           0.0054212,           0.0054212
                  39,            0.023598,            0.012255,           0.0006404,             0.93788,             0.47757,             0.52287,               0.379,            0.029559,            0.014551,           0.0084175,           0.0052975,           0.0052975,           0.0052975
                  40,            0.023773,            0.012306,          0.00080292,             0.61333,             0.53161,             0.53013,             0.35306,            0.027953,            0.014543,           0.0069109,           0.0051737,           0.0051737,           0.0051737
                  41,            0.023129,            0.011811,          0.00085315,             0.87443,             0.45748,             0.51023,             0.34981,            0.028931,            0.014751,           0.0074747,             0.00505,             0.00505,             0.00505
                  42,            0.022601,            0.011865,          0.00070616,             0.65724,             0.48055,             0.49816,             0.34279,            0.028016,            0.015008,           0.0076399,           0.0049263,           0.0049263,           0.0049263
                  43,            0.022793,            0.011658,          0.00069765,             0.59021,             0.48464,             0.52057,             0.36806,            0.028337,            0.014791,           0.0072772,           0.0048025,           0.0048025,           0.0048025
                  44,            0.022149,            0.011235,          0.00073422,             0.63117,             0.47587,             0.48868,              0.3418,            0.027775,            0.015469,           0.0075408,           0.0046788,           0.0046788,           0.0046788
                  45,            0.021524,            0.010449,          0.00063597,             0.87164,             0.47254,               0.526,             0.36933,            0.027908,            0.014615,           0.0072292,            0.004555,            0.004555,            0.004555
                  46,            0.021588,            0.010559,          0.00054214,             0.71986,             0.48464,             0.51837,             0.36572,            0.027131,              0.0149,           0.0079796,           0.0044313,           0.0044313,           0.0044313
                  47,             0.02182,            0.010283,          0.00040662,             0.85479,             0.45623,             0.53122,             0.37903,            0.027435,            0.014585,           0.0078282,           0.0043075,           0.0043075,           0.0043075
                  48,            0.021468,            0.010918,          0.00058397,              0.6564,             0.43174,             0.49528,             0.35532,             0.02759,            0.015247,           0.0076776,           0.0041837,           0.0041837,           0.0041837
                  49,            0.020459,            0.010453,           0.0005871,             0.61447,             0.46116,             0.49845,             0.35497,            0.027468,            0.015625,           0.0076355,             0.00406,             0.00406,             0.00406
                  50,            0.020453,            0.010131,          0.00071702,             0.77299,             0.50261,             0.53221,             0.37873,            0.026791,            0.015204,           0.0073058,           0.0039362,           0.0039362,           0.0039362
                  51,            0.020474,           0.0097668,          0.00062143,             0.82174,             0.46228,             0.53456,             0.38399,            0.026809,            0.015596,           0.0073174,           0.0038125,           0.0038125,           0.0038125
                  52,            0.019944,            0.010309,          0.00062016,             0.72565,             0.47545,             0.50937,             0.37578,            0.027721,            0.014631,           0.0082507,           0.0036888,           0.0036888,           0.0036888
                  53,            0.020121,           0.0099717,          0.00044498,             0.93848,             0.47489,             0.52754,             0.38823,            0.027402,             0.01467,           0.0087345,            0.003565,            0.003565,            0.003565
                  54,            0.019936,            0.010292,          0.00063586,             0.72587,             0.43879,             0.48638,             0.36995,            0.027123,            0.015802,           0.0080898,           0.0034413,           0.0034413,           0.0034413
                  55,            0.019129,           0.0091752,          0.00066574,             0.85539,             0.46541,             0.52086,             0.37648,            0.027143,            0.016324,           0.0071453,           0.0033175,           0.0033175,           0.0033175
                  56,            0.018843,           0.0094623,           0.0003705,             0.80433,             0.44474,              0.5357,              0.3943,            0.026372,            0.015866,           0.0070957,           0.0031938,           0.0031938,           0.0031938
                  57,            0.018798,            0.010215,          0.00044707,             0.68434,             0.44368,              0.4976,             0.37598,            0.026884,            0.016083,           0.0076807,             0.00307,             0.00307,             0.00307
                  58,            0.018836,           0.0092438,          0.00062285,              0.7403,              0.4212,             0.50759,             0.38835,            0.026621,            0.015855,           0.0078153,           0.0029462,           0.0029462,           0.0029462
                  59,            0.017979,            0.008998,          0.00068229,             0.89456,             0.41847,             0.52018,             0.39087,            0.026536,            0.016153,           0.0079637,           0.0028225,           0.0028225,           0.0028225
                  60,            0.017314,           0.0088546,          0.00054549,             0.69839,             0.48641,             0.53002,             0.40203,            0.025752,            0.015415,           0.0077485,           0.0026987,           0.0026987,           0.0026987
                  61,            0.017596,           0.0092346,          0.00045506,             0.70877,             0.47005,             0.52948,             0.40153,            0.026074,            0.015629,           0.0072418,            0.002575,            0.002575,            0.002575
                  62,            0.017264,           0.0087198,          0.00038524,             0.84543,             0.45125,             0.53871,              0.3984,            0.025589,            0.015872,           0.0075904,           0.0024513,           0.0024513,           0.0024513
                  63,             0.01712,           0.0084155,          0.00063463,             0.71684,             0.48939,              0.5295,             0.40271,            0.025239,            0.015772,           0.0078147,           0.0023275,           0.0023275,           0.0023275
                  64,            0.017144,           0.0085454,          0.00044173,             0.69765,             0.48464,             0.52973,             0.39417,            0.025597,            0.015908,           0.0083179,           0.0022038,           0.0022038,           0.0022038
